votes,user_id,name,average_stars,review_count,type,useful_votes,funny_votes,cool_votes
"{'funny': 8, 'useful': 20, 'cool': 9}",lESrKk1SGFhLzk96VD2tTg,Nicholle,3.58,12,user,20,8,9
"{'funny': 0, 'useful': 3, 'cool': 0}",JBjeU6IKdys77uYC65Ey7w,Jody,2.33,3,user,3,0,0
"{'funny': 0, 'useful': 0, 'cool': 0}",nLbOOU3m_graV-_DObM8Fw,Stacey,4.0,1,user,0,0,0
"{'funny': 0, 'useful': 2, 'cool': 0}",hhW_ATNABhw3qYZlXXKldA,Cindy,4.0,8,user,2,0,0
"{'funny': 0, 'useful': 13, 'cool': 9}",sIb0Qn1hSqmkugWIT2dx9g,Mehdi,5.0,2,user,13,0,9
"{'funny': 0, 'useful': 0, 'cool': 0}",PyGn7mhSojFdAsNhskPVag,Cassie,5.0,1,user,0,0,0
"{'funny': 4, 'useful': 8, 'cool': 3}",LRzRBaR3nP_uj8H2sJTANw,RA,3.71,7,user,8,4,3
"{'funny': 3, 'useful': 3, 'cool': 2}",NQIk_y-BLERLbk0lTLcljA,Homie G,3.0,2,user,3,3,2
"{'funny': 4, 'useful': 17, 'cool': 5}",mE2y5vWEAUosLNioY6qerA,Pete,4.25,13,user,17,4,5
"{'funny': 0, 'useful': 2, 'cool': 0}",KanV95sfldvvOxKFCqSwbg,Jared,5.0,1,user,2,0,0
"{'funny': 32, 'useful': 31, 'cool': 24}",ngSNO8l8b6yjmOdYPcGgSQ,Ross,3.4,5,user,31,32,24
"{'funny': 1, 'useful': 15, 'cool': 4}",GSZebDbIf0h_2MFv8xBGrw,Elizabeth,3.91,24,user,15,1,4
"{'funny': 0, 'useful': 1, 'cool': 0}",Ok4Vlc0qMoNBOfHs9xearw,Mico,5.0,2,user,1,0,0
"{'funny': 11, 'useful': 30, 'cool': 25}",qJxeGtYVxgfFAK5XrhmiAg,Alex,4.06,16,user,30,11,25
"{'funny': 305, 'useful': 546, 'cool': 304}",oUc3Q11cZEFkqK0A7YUgFg,Brian,3.46,607,user,546,305,304
"{'funny': 0, 'useful': 7, 'cool': 2}",poY_ez7hmdRC-MjG4X26qQ,Lindsey,5.0,5,user,7,0,2
"{'funny': 5, 'useful': 4, 'cool': 1}",9iMuhbeVUXmHDX2HhdlckA,Sheila,1.0,1,user,4,5,1
"{'funny': 0, 'useful': 0, 'cool': 0}",DxoGG_9qtHjH-aT_v3zYPA,Lakeisha,2.5,2,user,0,0,0
"{'funny': 0, 'useful': 1, 'cool': 0}",R-zZ3s0A-0XvhNjlAVcNjA,Jeffery,3.5,2,user,1,0,0
"{'funny': 1, 'useful': 3, 'cool': 1}",NSfy59HRWEIvG-d-i-4eLw,Angela,5.0,2,user,3,1,1
"{'funny': 0, 'useful': 0, 'cool': 0}",IuW2o9gWQJ8QRoUIU7Li1g,Sean,3.5,2,user,0,0,0
"{'funny': 0, 'useful': 4, 'cool': 0}",m0kP3pJLqd_myV1EfAQukA,Colin,3.5,4,user,4,0,0
"{'funny': 7, 'useful': 33, 'cool': 2}",BRmDAQb3IrPuZw0dNR-XgA,Joanna,3.3,40,user,33,7,2
"{'funny': 1, 'useful': 7, 'cool': 4}",gLhnPxedLgz2Qf2dHlxTww,Regan,3.67,10,user,7,1,4
"{'funny': 8, 'useful': 18, 'cool': 6}",fUhTCHf1vHE-KOybBcfyOg,Andrew,3.67,12,user,18,8,6
"{'funny': 0, 'useful': 2, 'cool': 1}",GHyP09GSMd5frdKWNtBw1A,Kendra,5.0,4,user,2,0,1
"{'funny': 0, 'useful': 2, 'cool': 0}",pwAEXsgHRLSKllCywk2Y2g,Patti,5.0,1,user,2,0,0
"{'funny': 5, 'useful': 3, 'cool': 0}",ey6qVUQVufOupF4qXNhdkg,Brandon,3.09,11,user,3,5,0
"{'funny': 27, 'useful': 48, 'cool': 18}",y9YW-BpDACEGytpX3NaeRw,B,2.8,105,user,48,27,18
"{'funny': 24, 'useful': 54, 'cool': 26}",6et33jlMdxRWG0vHt_hgOw,John,4.16,37,user,54,24,26
"{'funny': 3, 'useful': 2, 'cool': 0}",5y9iP8-qSUc17xhnAhLtPg,Bob,1.0,2,user,2,3,0
"{'funny': 0, 'useful': 0, 'cool': 0}",OL_zGrYW7ytPTbLy_aNXZg,Courtney,2.0,1,user,0,0,0
"{'funny': 1, 'useful': 1, 'cool': 0}",D2gmkkD5049x6LCuVZ4dkA,Topher,1.0,1,user,1,1,0
"{'funny': 0, 'useful': 1, 'cool': 0}",yhoPIOGaCbmQYGFNpcPwhQ,Matt,5.0,2,user,1,0,0
"{'funny': 3, 'useful': 2, 'cool': 0}",_2OsjLTTTgnGMACq9YybSg,Greta,3.75,5,user,2,3,0
"{'funny': 0, 'useful': 1, 'cool': 1}",XZv_mSbR59PM8qavcbaDFA,Sam,3.75,4,user,1,0,1
"{'funny': 2, 'useful': 37, 'cool': 14}",I2XnAbRfCRGUALLIXbpPUg,Frank,3.43,35,user,37,2,14
"{'funny': 0, 'useful': 2, 'cool': 1}",Sl6D3aJUHJItQORUxyVU9w,Chuck,5.0,2,user,2,0,1
"{'funny': 0, 'useful': 0, 'cool': 0}",DmCNbKch6lHjmibb5Ulaqg,Brett,4.0,1,user,0,0,0
"{'funny': 1, 'useful': 11, 'cool': 0}",ndWPuz43ZqUST7IeTjUZyg,Kim,3.6,7,user,11,1,0
"{'funny': 0, 'useful': 2, 'cool': 1}",sic1oXdir_3wyCdKlqzhRQ,Frank,5.0,3,user,2,0,1
"{'funny': 1, 'useful': 11, 'cool': 5}",eV7L_vigJWQIC3E_T1MWTA,Allen,4.6,5,user,11,1,5
"{'funny': 4, 'useful': 3, 'cool': 1}",-jVqKRJ2P_LFQOfRyBpg_g,Brett,4.2,6,user,3,4,1
"{'funny': 1, 'useful': 8, 'cool': 0}",sdeN4Dj0GI4uXoxrFqxs2g,Laurie,3.14,16,user,8,1,0
"{'funny': 3, 'useful': 4, 'cool': 1}",N5EjJ7mE-EHq3bDuDI2U_w,Debby,2.0,6,user,4,3,1
"{'funny': 19, 'useful': 62, 'cool': 7}",Kt9NwDONle_mc0QHTud9jw,Blake,2.49,59,user,62,19,7
"{'funny': 0, 'useful': 0, 'cool': 0}",HnA7YdI1UcRm8UrqdDFrbg,Melissa,5.0,1,user,0,0,0
"{'funny': 2, 'useful': 6, 'cool': 2}",uEcTEys0ou3EUeF5Kto2-w,Adam,4.8,10,user,6,2,2
"{'funny': 160, 'useful': 462, 'cool': 286}",EVN484M7GZxhVpp61JgQBA,Gayle,3.54,342,user,462,160,286
"{'funny': 1, 'useful': 4, 'cool': 0}",g-3AKS-cWN4DdnGDZXUVAw,Cheryl,3.0,2,user,4,1,0
"{'funny': 1, 'useful': 12, 'cool': 4}",6xTfRSf-6Gkheq_MRCTdEQ,Leah,4.17,12,user,12,1,4
"{'funny': 0, 'useful': 2, 'cool': 0}",O9oGdISO1V46YZR2C_UiNw,Denny,3.2,5,user,2,0,0
"{'funny': 1, 'useful': 7, 'cool': 1}",_VM0ZZfqobfEg_WUPmm9Mw,Gesyka,4.0,6,user,7,1,1
"{'funny': 0, 'useful': 2, 'cool': 0}",P_CVOUXLvFfkC6N_HeskOA,Jennifer,5.0,3,user,2,0,0
"{'funny': 105, 'useful': 262, 'cool': 127}",t2p7IyN-pJp6jYi3Syq2Wg,Lauren,3.77,93,user,262,105,127
"{'funny': 0, 'useful': 3, 'cool': 0}",YgAUaSZtNPTU_CORwGzX2Q,Christina,4.67,3,user,3,0,0
"{'funny': 45, 'useful': 162, 'cool': 90}",L87hrFVD-53NV8xRvoWfUw,Janell,3.72,65,user,162,45,90
"{'funny': 10, 'useful': 18, 'cool': 8}",yHhXlBAFVkS_LIl0HGG3YA,Keith,3.47,17,user,18,10,8
"{'funny': 9, 'useful': 24, 'cool': 6}",CnPckPmknMMzq4Fxpo8EaQ,Derrick,2.81,68,user,24,9,6
"{'funny': 0, 'useful': 1, 'cool': 0}",k0Xd06JnqtRSksUqlWsAKQ,Nancy L,1.0,1,user,1,0,0
"{'funny': 0, 'useful': 0, 'cool': 0}",03XnXCXK7gVJaNRtze5zCQ,Jay,5.0,2,user,0,0,0
"{'funny': 0, 'useful': 2, 'cool': 1}",snFeX-cQVws5RCFi7Pgkrg,Eric,5.0,1,user,2,0,1
"{'funny': 0, 'useful': 8, 'cool': 1}",7DLmeY-IZgC_mmNVTbS9Fw,Gardner,4.25,5,user,8,0,1
"{'funny': 1, 'useful': 2, 'cool': 0}",1MO00yD7nQEkEhpYjK9p2Q,Sandy,4.0,1,user,2,1,0
"{'funny': 0, 'useful': 1, 'cool': 1}",JWTtKYVMvICWLlhdHQLocw,Carol,5.0,1,user,1,0,1
"{'funny': 1, 'useful': 2, 'cool': 0}",7qXMPTvqkEQJ3j1mPpZ7Ow,Mo,5.0,1,user,2,1,0
"{'funny': 0, 'useful': 0, 'cool': 0}",ul3Qdnw9TTQqWwIoSbookA,Lynie,4.0,1,user,0,0,0
"{'funny': 1, 'useful': 8, 'cool': 2}",-cV9EY-f8OQKLP1-eiKvIw,Rachel,3.67,9,user,8,1,2
"{'funny': 0, 'useful': 1, 'cool': 0}",NGL0MI1K_0g5KXmzFSL8nA,R,1.0,1,user,1,0,0
"{'funny': 0, 'useful': 6, 'cool': 3}",rnV_UEaLHRH_WFbJQmDwWg,Carmen,4.17,6,user,6,0,3
"{'funny': 1, 'useful': 9, 'cool': 0}",nO94l75aIyEI5__FIjnAjA,Fred,4.2,41,user,9,1,0
"{'funny': 2, 'useful': 3, 'cool': 1}",tm3snXzLvv83jwN1-vrqdw,Yoram,4.2,5,user,3,2,1
"{'funny': 2, 'useful': 2, 'cool': 0}",pHMlo0Z_TUzxLmnOGgMLBA,Pamela,3.0,3,user,2,2,0
"{'funny': 10, 'useful': 69, 'cool': 16}",4XqgzF1IkaXjsCBbNztURA,R.,3.84,74,user,69,10,16
"{'funny': 6, 'useful': 31, 'cool': 13}",oSt7SgfAeEpLLAIE5dnUeA,carol,4.03,31,user,31,6,13
"{'funny': 1, 'useful': 9, 'cool': 1}",S_NH8JMiL0v9mrNBcClp0Q,Natalie,3.83,6,user,9,1,1
"{'funny': 0, 'useful': 0, 'cool': 0}",m7io289LhBZb1dDgmKlzUw,Donna,4.5,2,user,0,0,0
"{'funny': 1, 'useful': 0, 'cool': 0}",n32rXCoysXK4TG_hGeUH1Q,Brett,5.0,1,user,0,1,0
"{'funny': 0, 'useful': 0, 'cool': 0}",Cz4NRIa6CahlKYRpGaK9TQ,Alice,5.0,1,user,0,0,0
"{'funny': 2, 'useful': 12, 'cool': 3}",Uv4qrIDX7xzLJP_9n_JsyA,Eric,3.8,10,user,12,2,3
"{'funny': 1, 'useful': 15, 'cool': 7}",-v2iR3tUIuaIimKqkdGyLw,Allison,3.78,36,user,15,1,7
"{'funny': 0, 'useful': 1, 'cool': 2}",0fWyq8bc9TYp7WAgYh2CeA,Josh,4.06,16,user,1,0,2
"{'funny': 2, 'useful': 8, 'cool': 2}",3p7Pgmofr46rPincUFrX3w,Amanda,4.21,14,user,8,2,2
"{'funny': 0, 'useful': 0, 'cool': 0}",iuZwUxqdF87bLVDhHt5Q7Q,Charles,5.0,1,user,0,0,0
"{'funny': 1, 'useful': 5, 'cool': 2}",5naAxej_IEJVydulGHIBBA,Anna,4.67,6,user,5,1,2
"{'funny': 44, 'useful': 82, 'cool': 37}",BbYn77pwJeVebJxqAfIeEQ,Jill,4.37,63,user,82,44,37
"{'funny': 26, 'useful': 42, 'cool': 27}",r2vglPGmMuyo1BqV91l56g,D,3.67,18,user,42,26,27
"{'funny': 0, 'useful': 2, 'cool': 0}",0gvGzoXiF8jGI1Hj_L_OGA,Jose,4.5,2,user,2,0,0
"{'funny': 0, 'useful': 3, 'cool': 1}",Kj19E1M2mgEN1-zfmhvYBQ,Jumpdem,3.5,2,user,3,0,1
"{'funny': 0, 'useful': 5, 'cool': 0}",ofEZvBWPY_M_GI9lpxnIzw,sande,3.7,10,user,5,0,0
"{'funny': 0, 'useful': 0, 'cool': 0}",9IZ4Q_BdXwlVPAwf1EkZFA,Matt,4.5,2,user,0,0,0
"{'funny': 11, 'useful': 25, 'cool': 10}",Y1LmlESTBSBIUf3ckIrePw,Jordan,3.9,20,user,25,11,10
"{'funny': 8, 'useful': 9, 'cool': 5}",WAfZAshf-w0Pu5VQda67xA,LuLu,3.43,31,user,9,8,5
"{'funny': 3, 'useful': 12, 'cool': 6}",HgUidPslm4Q1zdBuyfsvLg,Mandy,4.35,20,user,12,3,6
"{'funny': 0, 'useful': 1, 'cool': 0}",8zd88Ixed46J2Y1wgU0WSg,Michael,4.6,5,user,1,0,0
"{'funny': 2, 'useful': 1, 'cool': 3}",x0tWJXn6RCAKFn_3zhMG6A,Jenny,4.17,6,user,1,2,3
"{'funny': 0, 'useful': 1, 'cool': 0}",uAEf2PwIzBLYWStLCz7pEg,Lynette,5.0,2,user,1,0,0
"{'funny': 0, 'useful': 0, 'cool': 0}",711vaBKy6e60zXNg69DIpA,robert,1.0,1,user,0,0,0
"{'funny': 0, 'useful': 1, 'cool': 0}",OBSqWZVUNAUtYvsdRb4DuA,Strider,1.0,1,user,1,0,0
"{'funny': 0, 'useful': 0, 'cool': 0}",q77AqJAnX4sM-2hts0bNgw,Mary,5.0,1,user,0,0,0
"{'funny': 97, 'useful': 114, 'cool': 86}",IqDhspdnztW14-Usc5IF_A,Goldie,4.23,48,user,114,97,86
"{'funny': 0, 'useful': 3, 'cool': 0}",uto71WESSPRvGxW0GcihGw,Subhasis,3.67,3,user,3,0,0
"{'funny': 0, 'useful': 0, 'cool': 0}",QJleChiMFNluZqbZa8zqfA,Robert,1.0,1,user,0,0,0
"{'funny': 0, 'useful': 1, 'cool': 0}",trsbHtRNR82DwKtE0W6AVQ,Macy,5.0,1,user,1,0,0
"{'funny': 91, 'useful': 114, 'cool': 57}",A3jj7qoDEhu295hYNFP_Pg,Seth,3.64,44,user,114,91,57
"{'funny': 2, 'useful': 9, 'cool': 3}",nCgaifPjYkB5QvcxFHYREQ,Sveta,2.33,5,user,9,2,3
"{'funny': 1, 'useful': 2, 'cool': 0}",EWRc233WIE5wBtldzMuj_A,Max,4.0,4,user,2,1,0
"{'funny': 5, 'useful': 8, 'cool': 0}",effdZiyAUX3_57TPoO-qag,Peter,4.6,6,user,8,5,0
"{'funny': 73, 'useful': 210, 'cool': 69}",mNb-Mn78KAG0-dG4kLVVaQ,Steve,3.42,239,user,210,73,69
"{'funny': 20, 'useful': 22, 'cool': 20}",qLbbFz8_-xoBlv032vfxug,Richard,4.17,18,user,22,20,20
"{'funny': 2, 'useful': 12, 'cool': 6}",1Xxau4ghT7VWDdDwK9gjiw,Ann,3.79,14,user,12,2,6
"{'funny': 3, 'useful': 22, 'cool': 11}",ZK8dZkCNcgiXKkizH_YeNQ,D,4.32,19,user,22,3,11
"{'funny': 2, 'useful': 6, 'cool': 0}",FVSpUG2tCifMcs2sFTTzqw,Kristin,4.5,5,user,6,2,0
"{'funny': 1, 'useful': 1, 'cool': 1}",Y69Jd-eyOn2oaCuoljtP-g,Tom,5.0,2,user,1,1,1
"{'funny': 2, 'useful': 7, 'cool': 1}",40ycaXorn5Z7ywrY8DdGaQ,Bobby,3.5,6,user,7,2,1
"{'funny': 0, 'useful': 0, 'cool': 0}",X5GnbH9D9FDSgNIlloGJfg,Julie,3.75,4,user,0,0,0
"{'funny': 10, 'useful': 38, 'cool': 15}",xU7n0NjHdui0VQShuxEXJw,Leslie,4.13,32,user,38,10,15
"{'funny': 0, 'useful': 4, 'cool': 1}",IaRxzXM4KHMd1Hl6uOsGEQ,Lynda,3.25,6,user,4,0,1
"{'funny': 0, 'useful': 0, 'cool': 0}",bV4IoTaWhE76rIyQUoknwA,Mandy,4.75,4,user,0,0,0
"{'funny': 0, 'useful': 0, 'cool': 0}",vnSz2VT6s-gdRBjlFDACYg,Steve,4.0,1,user,0,0,0
"{'funny': 0, 'useful': 0, 'cool': 0}",g0bUD0Vk54Jj72fof2TF0Q,Allison,3.5,2,user,0,0,0
"{'funny': 0, 'useful': 4, 'cool': 0}",Lo2-ynQg1nz5lSKCdHZDnQ,John,4.0,6,user,4,0,0
"{'funny': 0, 'useful': 1, 'cool': 0}",bz4sCrvdTlcmHbru6-j7Mg,Kristin,3.0,2,user,1,0,0
"{'funny': 3, 'useful': 18, 'cool': 4}",_Wsaswxl1nchulQZQ1Dk1Q,Dennis,3.75,17,user,18,3,4
"{'funny': 7, 'useful': 19, 'cool': 7}",VxBU0RjZZQHlLefG8unr4g,Mike,3.54,14,user,19,7,7
"{'funny': 1, 'useful': 1, 'cool': 0}",NP7-FXL2EpAFXPrSqgFcxA,Awesome,1.0,1,user,1,1,0
"{'funny': 2, 'useful': 10, 'cool': 10}",UHWaq40uTeO9ojnTRZqNCQ,Sue,3.94,35,user,10,2,10
"{'funny': 2, 'useful': 5, 'cool': 2}",8BLqnArclv8XQQqf9g5j0Q,Ryan,3.57,7,user,5,2,2
"{'funny': 1, 'useful': 20, 'cool': 7}",5hneD5bCSVAhwivVBlBzIQ,Dave,4.3,34,user,20,1,7
"{'funny': 3, 'useful': 14, 'cool': 3}",Iz4PAuSI6opJbRUy7VW7Mw,Tania,3.43,7,user,14,3,3
"{'funny': 38, 'useful': 64, 'cool': 38}",BrJcbK_lH0irQcNSNBEQHQ,Joe,3.53,30,user,64,38,38
"{'funny': 0, 'useful': 0, 'cool': 0}",hNqqN2pR-qnGNUqI4X5rOg,Cindy,4.0,1,user,0,0,0
"{'funny': 14, 'useful': 50, 'cool': 26}",cPnMdJw155GDKYHoOsNOFg,Laura,3.64,76,user,50,14,26
"{'funny': 16, 'useful': 58, 'cool': 18}",l4H5tdq8Fpzkh4MiVe-xdw,Sandy,3.6,105,user,58,16,18
"{'funny': 0, 'useful': 0, 'cool': 0}",vzsOB4jaPZ7TkZNN6fdaLg,Michelle,4.0,1,user,0,0,0
"{'funny': 150, 'useful': 316, 'cool': 200}",hnirQYfI4cjrzSMENyQTWw,Andrea,3.73,146,user,316,150,200
"{'funny': 407, 'useful': 614, 'cool': 518}",2dgreYXset1eR4qPc6Zw0g,Lynn,3.51,338,user,614,407,518
"{'funny': 1, 'useful': 8, 'cool': 3}",0lJjLyGl06M2xwB8FL6XfA,Emily,3.86,7,user,8,1,3
"{'funny': 11, 'useful': 106, 'cool': 17}",WKwb6R36IpaLt28uOVhHKw,Jennifer,3.88,50,user,106,11,17
"{'funny': 1, 'useful': 3, 'cool': 1}",sFPkA6tM9DJxHBtEUpg-Ag,Laura,2.33,3,user,3,1,1
"{'funny': 2, 'useful': 4, 'cool': 0}",uZG-IiG2fE7LSoEtlWp2Sw,Anri,4.7,10,user,4,2,0
"{'funny': 0, 'useful': 0, 'cool': 0}",-Ua-r3fdwqDk_e8V57-Oxg,Amanda,3.0,2,user,0,0,0
"{'funny': 2, 'useful': 14, 'cool': 1}",skiZJN5OJTyyqP2oRVNhoQ,Jayelynn,4.44,16,user,14,2,1
"{'funny': 0, 'useful': 1, 'cool': 1}",eoja_M3_xcYF5_HcBoZ8gQ,Nick,5.0,1,user,1,0,1
"{'funny': 4, 'useful': 13, 'cool': 1}",1NqzsgYtUwyngVyKzs_Lgg,Amy,3.1,10,user,13,4,1
"{'funny': 21, 'useful': 70, 'cool': 25}",lAngRi4lwBIHmjCBVLd-8Q,Elias,3.77,61,user,70,21,25
"{'funny': 332, 'useful': 400, 'cool': 292}",atqpfEWIjCjjcLvJBBgXEg,justin,3.63,221,user,400,332,292
"{'funny': 3, 'useful': 13, 'cool': 7}",JxlwGkorERKcUndkJhwg4w,Pete,3.85,13,user,13,3,7
"{'funny': 0, 'useful': 2, 'cool': 0}",vRVByB2ALf8Ar1igApK9Fw,Julie,4.0,2,user,2,0,0
"{'funny': 21, 'useful': 64, 'cool': 30}",G9LX30zvtOMlRmQICPlAsQ,Steve,4.16,70,user,64,21,30
"{'funny': 4, 'useful': 9, 'cool': 2}",bYZN1gwIQRS_miEPqeV9og,Robert,3.35,33,user,9,4,2
"{'funny': 0, 'useful': 9, 'cool': 1}",1qyacies6ETjhJVGmf_B0g,Alberto,4.17,6,user,9,0,1
"{'funny': 5, 'useful': 8, 'cool': 0}",MjA77EMY-ELa9r1HLBtmpQ,Donn,3.33,10,user,8,5,0
"{'funny': 599, 'useful': 611, 'cool': 496}",Rx6tKXYtIw9f2Tn_8WjntQ,Douglas,3.54,177,user,611,599,496
"{'funny': 8, 'useful': 38, 'cool': 10}",m4s_m9t1i7y_c6tjB_y5qA,Heidi,3.39,67,user,38,8,10
"{'funny': 31, 'useful': 163, 'cool': 81}",hfUU1-nWFcyibCR09KbApQ,Adam,3.99,133,user,163,31,81
"{'funny': 0, 'useful': 1, 'cool': 0}",EPryZwHVaxgBspLbZoZ2CA,Patti,5.0,3,user,1,0,0
"{'funny': 598, 'useful': 1245, 'cool': 965}",XTn5Rx1r8pfaHLt8sXqdWQ,Matthew,4.13,457,user,1245,598,965
"{'funny': 8, 'useful': 31, 'cool': 12}",3gOsJTTe6_NXV8SU6iBlgw,B,3.19,86,user,31,8,12
"{'funny': 3, 'useful': 4, 'cool': 2}",Ac7MGKJ6fW2Z2J3-BtOt_Q,Matt,4.25,4,user,4,3,2
"{'funny': 9, 'useful': 15, 'cool': 7}",4MsQsF4kK_venUThpr0piw,erin,3.92,25,user,15,9,7
"{'funny': 1, 'useful': 0, 'cool': 0}",vNMoCUTt75RjtHVt-4jotg,Alexis,5.0,3,user,0,1,0
"{'funny': 0, 'useful': 0, 'cool': 0}",PegG6MvDUbA8RMQBneyfFQ,Cari,1.0,2,user,0,0,0
"{'funny': 1, 'useful': 0, 'cool': 0}",luJ2M6CDAgVljDU_d78-3g,Lynn,5.0,1,user,0,1,0
"{'funny': 0, 'useful': 0, 'cool': 0}",mlgOThh6KO7KIr7v-_M3aQ,Andrew,3.5,2,user,0,0,0
"{'funny': 270, 'useful': 424, 'cool': 340}",WNICEXsRUDAkZ0wEW38IeQ,Vik,3.52,211,user,424,270,340
"{'funny': 0, 'useful': 1, 'cool': 0}",NPH2uWbbHwtg-7ArJksl1Q,Aaron,5.0,1,user,1,0,0
"{'funny': 39, 'useful': 165, 'cool': 45}",6ZLjNYVfOfAtkkC-64ADZQ,David,3.64,258,user,165,39,45
"{'funny': 2, 'useful': 1, 'cool': 0}",UiSujtzbEtiS4Tb9AXAHkg,Jeanne,5.0,4,user,1,2,0
"{'funny': 23, 'useful': 71, 'cool': 21}",r00dx3XoywJlAahJKaXFVA,Christopher,3.45,64,user,71,23,21
"{'funny': 3, 'useful': 5, 'cool': 0}",tlshcCNdmQ5MCnl1Bnr6kg,Lindsay,1.0,1,user,5,3,0
"{'funny': 0, 'useful': 0, 'cool': 0}",5xrdJM88kiiFKpkp4CTfiw,Jess,4.0,1,user,0,0,0
"{'funny': 9, 'useful': 36, 'cool': 16}",gVKVpWMX4IRo-K-LAn81Pw,Dana,3.04,24,user,36,9,16
"{'funny': 2, 'useful': 9, 'cool': 3}",xrPrQDtiZ4rTJq_EFYqumg,Madia,4.67,6,user,9,2,3
"{'funny': 3, 'useful': 10, 'cool': 5}",WeMj6qk-C62uYgp01gL9hw,michael,4.0,8,user,10,3,5
"{'funny': 61, 'useful': 33, 'cool': 19}",hWPOj78yi6CQub26elkHHQ,Katie,3.38,40,user,33,61,19
"{'funny': 0, 'useful': 0, 'cool': 0}",a3iLIo0DtB9h0YqVrXEenw,Austin,5.0,1,user,0,0,0
"{'funny': 5, 'useful': 13, 'cool': 3}",aerUnfhmnNYiazVrK5jcaQ,Tera,4.45,11,user,13,5,3
"{'funny': 5, 'useful': 21, 'cool': 4}",NQMpQlEzCUKBjAORe47IOQ,Robert,4.42,26,user,21,5,4
"{'funny': 28, 'useful': 93, 'cool': 51}",UH1FlQPWTKEzwMquZIgO9A,Alex,4.21,67,user,93,28,51
"{'funny': 3, 'useful': 8, 'cool': 0}",lyESkeFLTfHNwTCH5H5jnw,Eric,3.0,4,user,8,3,0
"{'funny': 0, 'useful': 0, 'cool': 0}",JnUWC3aa2lfJgpxmGjmvTA,Sheri,1.0,1,user,0,0,0
"{'funny': 3, 'useful': 15, 'cool': 5}",lh1-4Sp3InwVLeKrEw0t4w,Sam,4.35,17,user,15,3,5
"{'funny': 0, 'useful': 1, 'cool': 0}",t_EmA9GUTsk-8K12zfQ0vg,Artie,5.0,2,user,1,0,0
"{'funny': 1, 'useful': 1, 'cool': 1}",8uheGcYSCDIUklELVv4Ycw,Andi,5.0,3,user,1,1,1
"{'funny': 27, 'useful': 86, 'cool': 45}",Zz-lHlp5gJdPg3LgFRRrRQ,Alicia,3.5,66,user,86,27,45
"{'funny': 7, 'useful': 21, 'cool': 6}",PS9y0Hu5yraD5IbEJU4hSA,julie,1.67,7,user,21,7,6
"{'funny': 2, 'useful': 19, 'cool': 5}",Y2MDVAFhlB1u1WqhgB8m1w,Amanda,4.19,32,user,19,2,5
"{'funny': 1, 'useful': 4, 'cool': 2}",BLf7keHkjX70eGqmVtCSUw,Kyle,3.83,6,user,4,1,2
"{'funny': 0, 'useful': 3, 'cool': 4}",zE0yNDf_URTwGsuvUG22KQ,Greg,3.75,4,user,3,0,4
"{'funny': 0, 'useful': 1, 'cool': 1}",rtN3D3yAkP6J6phu0TajmQ,Shelly,5.0,1,user,1,0,1
"{'funny': 0, 'useful': 1, 'cool': 0}",qE4c-zYRZX8xo_pr0wQX6Q,Raki,1.0,1,user,1,0,0
"{'funny': 4, 'useful': 13, 'cool': 5}",kHI1UedCN7pNnYEknsmqDA,Diana,4.42,25,user,13,4,5
"{'funny': 132, 'useful': 220, 'cool': 114}",Lu3i-nhnKYKas0BTgftw8w,Jenny,3.12,113,user,220,132,114
"{'funny': 4, 'useful': 4, 'cool': 2}",VVsuCYRKmQ34t5_WSyaR5A,Darren,3.5,4,user,4,4,2
"{'funny': 0, 'useful': 0, 'cool': 0}",uFWkZJrr7Z2T7aQ31g3dAA,Vicki,1.0,1,user,0,0,0
"{'funny': 0, 'useful': 1, 'cool': 0}",I8SygPqSUEdhmj5pqbuqPg,Heidi,4.5,4,user,1,0,0
"{'funny': 2, 'useful': 2, 'cool': 3}",SaWqH4JuKzQxvxttBai0SA,Laura,3.89,9,user,2,2,3
"{'funny': 0, 'useful': 1, 'cool': 0}",ELs6YvxVFdvNTUW3huAAmA,Ryan,5.0,1,user,1,0,0
"{'funny': 0, 'useful': 1, 'cool': 1}",GyqYBC6OSi3INA4gkvTSZw,Zach,5.0,2,user,1,0,1
"{'funny': 1, 'useful': 9, 'cool': 0}",ddqduBK-kl_Csj9rTu7zLg,Greg,3.67,27,user,9,1,0
"{'funny': 1534, 'useful': 1537, 'cool': 1629}",p9y5qcFZ6YRRQ9PnFcVn-g,Christopher,3.9,167,user,1537,1534,1629
"{'funny': 2, 'useful': 19, 'cool': 3}",XFptnoqVxzdQIudug0oLCw,Wayne,4.0,4,user,19,2,3
"{'funny': 0, 'useful': 2, 'cool': 1}",4h0nIncaoWgPXABhttHVag,Dan,3.4,5,user,2,0,1
"{'funny': 3, 'useful': 28, 'cool': 8}",KOUARsvPrVh3cBsFyqbmaA,Kate,3.81,54,user,28,3,8
"{'funny': 12, 'useful': 18, 'cool': 13}",CKQ6mD1JScXLizDOQl4KpQ,Cody,4.17,6,user,18,12,13
"{'funny': 89, 'useful': 115, 'cool': 54}",U_fAIe7CUaGMejwSdNvMgw,Mark,4.37,123,user,115,89,54
"{'funny': 21, 'useful': 29, 'cool': 13}",NWUcC8acMnuIBwD81PgIWw,Ken,3.0,20,user,29,21,13
"{'funny': 71, 'useful': 85, 'cool': 22}",FUMdzARf71drXyDZ7lkpWw,Chris,2.65,55,user,85,71,22
